state,state_abrev,ownership_type,occ_title,title,employment_total,employment_per_1000,occupation_share_per_area_employment,Pct_Ind_Employ,pct_rpt,mean_hourly_wage,mean_salary
Illinois,IL,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"6,320",1.052,0.83,,,55.69,"115,840"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,440",0.772,0.61,,,44.48,"92,520"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,270",1.472,1.16,,,47.38,"98,550"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,**,**,**,,,51.44,"107,000"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,080",1.058,0.83,,,46.29,"96,290"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,920,0.497,0.39,,,35.74,"74,330"
Maine,ME,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,710,1.15,0.91,,,51.62,"107,370"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,170",0.81,0.64,,,60.59,"126,020"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"7,400",2.031,1.6,,,60.15,"125,100"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"4,700",1.081,0.85,,,46.39,"96,500"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,240",0.776,0.61,,,57.1,"118,760"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,290,0.253,0.2,,,34.72,"72,220"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"3,850",1.339,1.06,,,42.41,"88,210"
Montana,MT,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,90,0.182,0.14,,,48.73,"101,350"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"1,780",1.775,1.4,,,45.66,"94,960"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,980,0.662,0.52,,,46.54,"96,800"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,780,1.151,0.91,,,46.79,"97,330"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"4,340",1.032,0.81,,,64.49,"134,140"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,380,0.449,0.35,,,42.65,"88,720"
New York,NY,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"16,390",1.745,1.38,,,64.82,"134,830"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"6,640",1.385,1.09,,,60.55,"125,950"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,240,0.567,0.45,,,49.24,"102,410"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"4,660",0.852,0.67,,,46.89,"97,530"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,130",1.281,1.01,,,44.72,"93,020"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,640",1.36,1.07,,,59.85,"124,480"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"7,490",1.259,0.99,,,49.22,"102,370"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,900,1.848,1.46,,,61.24,"127,380"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,090",0.942,0.74,,,48.46,"100,790"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,150,0.328,0.26,,,47.09,"97,940"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"2,090",0.648,0.51,,,46.97,"97,710"
Texas,TX,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"20,560",1.517,1.2,,,52.4,"109,000"
Utah,UT,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"3,530",2.105,1.66,,,48.93,"101,780"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,220,0.735,0.58,,,59.82,"124,430"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"4,810",1.209,0.95,,,66.87,"139,080"
Washington,WA,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"5,640",1.613,1.27,,,71.5,"148,730"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,180,0.266,0.21,,,45.35,"94,330"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,"3,090",1.07,0.84,,,50.6,"105,250"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Data Scientists,Data Scientist,**,**,**,,,60.25,"125,330"
